layer_name,alpha_sign,clean_mean,clean_std,perturbed_mean,perturbed_std,relative_l2,cosine_similarity,mean_shift,std_ratio,max_abs_error,p95_error,sign_flip_ratio,zero_fraction_change,saturation_ratio
conv1.module,neg_04,0.00040781270945444703,0.43985864520072937,0.00040781270945444703,0.43985864520072937,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
conv1.module,pos_04,0.00040781270945444703,0.43985864520072937,0.00040781270945444703,0.43985864520072937,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fc.module,neg_04,-0.00038463922101072967,3.63399338722229,-0.0007630527252331376,7.156399726867676,0.9782760739326477,0.9955582618713379,-0.00037841350422240794,1.9692935943603516,15.1718111038208,9.650629997253418,0.03437500074505806,0.0,0.5335937738418579
fc.module,pos_04,-0.00038463922101072967,3.63399338722229,-0.00021054148965049535,1.493691086769104,0.6053571701049805,0.9761878252029419,0.00017409773136023432,0.4110329747200012,9.659490585327148,6.164382457733154,0.10234375298023224,0.0,0.13359375298023224
layer1.0.conv1.module,neg_04,-0.12204496562480927,0.2712569236755371,-0.12204496562480927,0.2712569236755371,0.0,0.9999998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.0.conv1.module,pos_04,-0.12204496562480927,0.2712569236755371,-0.12204496562480927,0.2712569236755371,0.0,0.9999998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.0.conv2.module,neg_04,-0.049637481570243835,0.1739051640033722,-0.049637481570243835,0.1739051640033722,0.0,0.9999997615814209,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.0.conv2.module,pos_04,-0.049637481570243835,0.1739051640033722,-0.049637481570243835,0.1739051640033722,0.0,0.9999997615814209,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.1.conv1.module,neg_04,-0.21588686108589172,0.42525535821914673,-0.21588686108589172,0.42525535821914673,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.1.conv1.module,pos_04,-0.21588686108589172,0.42525535821914673,-0.21588686108589172,0.42525535821914673,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.1.conv2.module,neg_04,-0.04432603716850281,0.16966696083545685,-0.04432603716850281,0.16966696083545685,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer1.1.conv2.module,pos_04,-0.04432603716850281,0.16966696083545685,-0.04432603716850281,0.16966696083545685,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.0.conv1.module,neg_04,-0.1399097442626953,0.35498595237731934,-0.1399097442626953,0.35498595237731934,0.0,0.9999998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.0.conv1.module,pos_04,-0.1399097442626953,0.35498595237731934,-0.1399097442626953,0.35498595237731934,0.0,0.9999998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.0.conv2.module,neg_04,-0.08806324005126953,0.1578991413116455,-0.08806324005126953,0.1578991413116455,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.0.conv2.module,pos_04,-0.08806324005126953,0.1578991413116455,-0.08806324005126953,0.1578991413116455,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.0.downsample.0.module,neg_04,-0.02349998615682125,0.12518039345741272,-0.02349998615682125,0.12518039345741272,0.0,1.0000001192092896,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.0.downsample.0.module,pos_04,-0.02349998615682125,0.12518039345741272,-0.02349998615682125,0.12518039345741272,0.0,1.0000001192092896,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.1.conv1.module,neg_04,-0.15898117423057556,0.268816739320755,-0.15898117423057556,0.268816739320755,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.1.conv1.module,pos_04,-0.15898117423057556,0.268816739320755,-0.15898117423057556,0.268816739320755,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.1.conv2.module,neg_04,-0.031345393508672714,0.07096490263938904,-0.031345393508672714,0.07096490263938904,0.0,0.9999998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer2.1.conv2.module,pos_04,-0.031345393508672714,0.07096490263938904,-0.031345393508672714,0.07096490263938904,0.0,0.9999998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer3.0.conv1.module,neg_04,-0.14959028363227844,0.2570202350616455,-0.14959028363227844,0.2570202350616455,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
layer3.0.conv1.module,pos_04,-0.14959028363227844,0.2570202350616455,-0.14959028363227844,0.2570202350616455,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
