bin_index,bin_lower,bin_upper,sample_count,mean_confidence,bin_accuracy,calibration_gap,weighted_gap
0,0.0,0.06666667014360428,0,0.0,0.0,0.0,0.0
1,0.06666667014360428,0.13333334028720856,0,0.0,0.0,0.0,0.0
2,0.13333334028720856,0.20000001788139343,0,0.0,0.0,0.0,0.0
3,0.20000001788139343,0.2666666805744171,1,0.2534864544868469,0.0,0.2534864544868469,2.5348645448684695e-05
4,0.2666666805744171,0.3333333432674408,2,0.31163620948791504,0.0,0.31163620948791504,6.232724189758301e-05
5,0.3333333432674408,0.40000003576278687,11,0.3711531460285187,0.27272728085517883,0.09842586517333984,0.00010826845169067384
6,0.40000003576278687,0.46666669845581055,29,0.4324028491973877,0.48275861144065857,-0.050355762243270874,0.00014603171050548553
7,0.46666669845581055,0.5333333015441895,61,0.5030050277709961,0.4098360538482666,0.09316897392272949,0.00056833074092865
8,0.5333333015441895,0.5999999642372131,78,0.5671510100364685,0.4615384638309479,0.10561254620552063,0.0008237778604030609
9,0.5999999642372131,0.6666666269302368,91,0.6353977918624878,0.5384615659713745,0.09693622589111328,0.0008821196556091309
10,0.6666666269302368,0.7333333492279053,81,0.7015655040740967,0.5679012537002563,0.13366425037384033,0.0010826804280281066
11,0.7333333492279053,0.800000011920929,125,0.76763516664505,0.6160000562667847,0.15163511037826538,0.0018954388797283173
12,0.800000011920929,0.8666666746139526,167,0.8367568254470825,0.6407185792922974,0.19603824615478516,0.003273838710784912
13,0.8666666746139526,0.9333333373069763,224,0.9033768177032471,0.7008928656578064,0.20248395204544067,0.004535640525817871
14,0.9333333373069763,1.0,9130,0.9968469738960266,0.9757941365242004,0.021052837371826172,0.019221240520477297
ECE,0.03262504190206528,,,,,,
