bin_index,bin_lower,bin_upper,sample_count,mean_confidence,bin_accuracy,calibration_gap,weighted_gap
0,0.0,0.06666667014360428,0,0.0,0.0,0.0,0.0
1,0.06666667014360428,0.13333334028720856,57,0.1295517086982727,0.3333333432674408,-0.2037816345691681,0.0011615553170442581
2,0.13333334028720856,0.20000001788139343,3750,0.17017926275730133,0.595466673374176,-0.4252874106168747,0.159482778981328
3,0.20000001788139343,0.2666666805744171,2812,0.2301553636789322,0.8950924277305603,-0.6649370640516281,0.18698030241131783
4,0.2666666805744171,0.3333333432674408,1605,0.29696863889694214,0.985669732093811,-0.6887010931968689,0.11053652545809746
5,0.3333333432674408,0.40000003576278687,875,0.363433837890625,0.9988571405410767,-0.6354233026504517,0.05559953898191452
6,0.40000003576278687,0.46666669845581055,499,0.4306318461894989,0.9979960322380066,-0.5673641860485077,0.028311472883820535
7,0.46666669845581055,0.5333333015441895,223,0.49831879138946533,1.0,-0.5016812086105347,0.011187490952014923
8,0.5333333015441895,0.5999999642372131,101,0.5635212659835815,1.0,-0.43647873401641846,0.004408435213565826
9,0.5999999642372131,0.6666666269302368,48,0.6303271651268005,1.0,-0.36967283487319946,0.0017744296073913574
10,0.6666666269302368,0.7333333492279053,16,0.6994542479515076,1.0,-0.30054575204849243,0.0004808732032775879
11,0.7333333492279053,0.800000011920929,13,0.7677721977233887,1.0,-0.23222780227661133,0.0003018961429595947
12,0.800000011920929,0.8666666746139526,1,0.8020143508911133,1.0,-0.19798564910888672,1.9798564910888673e-05
13,0.8666666746139526,0.9333333373069763,0,0.0,0.0,0.0,0.0
14,0.9333333373069763,1.0,0,0.0,0.0,0.0,0.0
ECE,0.5602450966835022,,,,,,
