bin_index,bin_lower,bin_upper,sample_count,mean_confidence,bin_accuracy,calibration_gap,weighted_gap
0,0.0,0.06666667014360428,0,0.0,0.0,0.0,0.0
1,0.06666667014360428,0.13333334028720856,0,0.0,0.0,0.0,0.0
2,0.13333334028720856,0.20000000298023224,0,0.0,0.0,0.0,0.0
3,0.20000000298023224,0.2666666805744171,0,0.0,0.0,0.0,0.0
4,0.2666666805744171,0.3333333432674408,1,0.3207646310329437,0.0,-0.3207646310329437,3.207646310329437e-05
5,0.3333333432674408,0.4000000059604645,2,0.36417078971862793,0.5,0.13582921028137207,2.7165842056274414e-05
6,0.4000000059604645,0.46666666865348816,8,0.4355373978614807,0.5,0.06446260213851929,5.157008171081543e-05
7,0.46666666865348816,0.5333333611488342,27,0.512871265411377,0.40740740299224854,-0.10546386241912842,0.00028475242853164673
8,0.5333333611488342,0.6000000238418579,40,0.563780665397644,0.25,-0.31378066539764404,0.0012551226615905762
9,0.6000000238418579,0.6666666865348816,36,0.6353250741958618,0.3611111044883728,-0.274213969707489,0.0009871702909469604
10,0.6666666865348816,0.7333333492279053,33,0.7035030722618103,0.3333333432674408,-0.3701697289943695,0.0012215601056814194
11,0.7333333492279053,0.800000011920929,56,0.7629971504211426,0.5,-0.2629971504211426,0.0014727840423583985
12,0.800000011920929,0.8666666746139526,72,0.8339505195617676,0.5,-0.3339505195617676,0.0024044437408447267
13,0.8666666746139526,0.9333333373069763,107,0.9047113656997681,0.5887850522994995,-0.31592631340026855,0.0033804115533828736
14,0.9333333373069763,1.0,9618,0.999129056930542,0.9591391086578369,-0.03998994827270508,0.038462332248687746
