bin_index,bin_lower,bin_upper,sample_count,mean_confidence,bin_accuracy,calibration_gap,weighted_gap
0,0.0,0.06666667014360428,0,0.0,0.0,0.0,0.0
1,0.06666667014360428,0.13333334028720856,1,0.13252712786197662,0.0,-0.13252712786197662,1.3252712786197663e-05
2,0.13333334028720856,0.20000000298023224,381,0.1779206097126007,0.4514435827732086,0.2735229730606079,0.01042122527360916
3,0.20000000298023224,0.2666666805744171,987,0.2359388768672943,0.6818642616271973,0.44592538475990295,0.04401283547580242
4,0.2666666805744171,0.3333333432674408,1100,0.300152987241745,0.8600000143051147,0.5598470270633698,0.06158317297697067
5,0.3333333432674408,0.4000000059604645,1251,0.3676387369632721,0.9336530566215515,0.5660143196582794,0.07080839138925075
6,0.4000000059604645,0.46666666865348816,1333,0.43274667859077454,0.9759939908981323,0.5432473123073578,0.07241486673057079
7,0.46666666865348816,0.5333333611488342,1216,0.5000789761543274,0.9868420958518982,0.4867631196975708,0.059190395355224606
8,0.5333333611488342,0.6000000238418579,1019,0.5664007663726807,0.9970559477806091,0.43065518140792847,0.04388376298546791
9,0.6000000238418579,0.6666666865348816,823,0.6315751671791077,0.9927095770835876,0.36113440990448,0.0297213619351387
10,0.6666666865348816,0.7333333492279053,739,0.7001548409461975,0.9986467957496643,0.2984919548034668,0.022058555459976197
11,0.7333333492279053,0.800000011920929,562,0.7661178708076477,0.9982206225395203,0.23210275173187256,0.013044174647331238
12,0.800000011920929,0.8666666746139526,419,0.8311850428581238,1.0,0.16881495714187622,0.0070733467042446135
13,0.8666666746139526,0.9333333373069763,154,0.8918219208717346,1.0,0.10817807912826538,0.001665942418575287
14,0.9333333373069763,1.0,15,0.943950891494751,1.0,0.05604910850524902,8.407366275787353e-05
