bin_index,bin_lower,bin_upper,sample_count,mean_confidence,bin_accuracy,calibration_gap,weighted_gap
0,0.0,0.06666667014360428,0,0.0,0.0,0.0,0.0
1,0.06666667014360428,0.13333334028720856,67,0.12934784591197968,0.4029850661754608,-0.27363722026348114,0.0018333693757653236
2,0.13333334028720856,0.20000001788139343,3792,0.16935598850250244,0.5965189337730408,-0.42716294527053833,0.16198018884658813
3,0.20000001788139343,0.2666666805744171,2744,0.22975599765777588,0.8979592323303223,-0.6682032346725464,0.1833549675941467
4,0.2666666805744171,0.3333333432674408,1607,0.29669368267059326,0.9894213080406189,-0.6927276253700256,0.11132132939696313
5,0.3333333432674408,0.40000003576278687,871,0.36318522691726685,0.9965556859970093,-0.6333704590797424,0.055166566985845565
6,0.40000003576278687,0.46666669845581055,476,0.4306662678718567,1.0,-0.5693337321281433,0.027100285649299623
7,0.46666669845581055,0.5333333015441895,250,0.4943239092826843,1.0,-0.5056760907173157,0.012641902267932893
8,0.5333333015441895,0.5999999642372131,110,0.5616981983184814,0.9999999403953552,-0.4383017420768738,0.004821319162845611
9,0.5999999642372131,0.6666666269302368,54,0.6332234144210815,1.0,-0.36677658557891846,0.00198059356212616
10,0.6666666269302368,0.7333333492279053,15,0.6920965313911438,1.0,-0.3079034686088562,0.0004618552029132843
11,0.7333333492279053,0.800000011920929,14,0.7603471875190735,1.0,-0.2396528124809265,0.00033551393747329714
12,0.800000011920929,0.8666666746139526,0,0.0,0.0,0.0,0.0
13,0.8666666746139526,0.9333333373069763,0,0.0,0.0,0.0,0.0
14,0.9333333373069763,1.0,0,0.0,0.0,0.0,0.0
ECE,0.5609978437423706,,,,,,
