bin_index,bin_lower,bin_upper,sample_count,mean_confidence,bin_accuracy,calibration_gap,weighted_gap
0,0.0,0.06666667014360428,0,0.0,0.0,0.0,0.0
1,0.06666667014360428,0.13333334028720856,30,0.12867146730422974,0.40000003576278687,-0.27132856845855713,0.0008139857053756714
2,0.13333334028720856,0.20000001788139343,3239,0.17152255773544312,0.5745600461959839,-0.40303748846054077,0.13054384251236917
3,0.20000001788139343,0.2666666805744171,2767,0.23060613870620728,0.8691723346710205,-0.6385661959648132,0.17669126642346383
4,0.2666666805744171,0.3333333432674408,1680,0.29751625657081604,0.9809524416923523,-0.6834361851215363,0.1148172791004181
5,0.3333333432674408,0.40000003576278687,1021,0.36351582407951355,0.9970616698265076,-0.633545845746994,0.06468503085076809
6,0.40000003576278687,0.46666669845581055,601,0.43146008253097534,0.9983360767364502,-0.5668759942054749,0.03406924725174904
7,0.46666669845581055,0.5333333015441895,359,0.4971100986003876,1.0,-0.5028899013996124,0.018053747460246086
8,0.5333333015441895,0.5999999642372131,163,0.5635849833488464,1.0,-0.43641501665115356,0.007113564771413803
9,0.5999999642372131,0.6666666269302368,78,0.6312435865402222,1.0,-0.36875641345977783,0.002876300024986267
10,0.6666666269302368,0.7333333492279053,38,0.6984423398971558,1.0,-0.30155766010284424,0.001145919108390808
11,0.7333333492279053,0.800000011920929,20,0.768523633480072,1.0,-0.23147636651992798,0.00046295273303985596
12,0.800000011920929,0.8666666746139526,4,0.8187520503997803,1.0,-0.18124794960021973,7.249917984008789e-05
13,0.8666666746139526,0.9333333373069763,0,0.0,0.0,0.0,0.0
14,0.9333333373069763,1.0,0,0.0,0.0,0.0,0.0
ECE,0.5513455867767334,,,,,,
