method,alpha,test_accuracy,test_loss,ece_15_bins,mean_confidence,sample_count,elapsed_seconds
fixed_nat,-0.8,0.9323,1.7622122634887696,0.06347423791885376,0.9957742094993591,10000,3.9334786999970675
fixed_nat,-0.6,0.9342,1.2996521003723145,0.06166861206293106,0.995744526386261,10000,3.706993600120768
fixed_nat,-0.4,0.9359,0.9355112607955932,0.05850059911608696,0.9942910671234131,10000,3.6929845998529345
fixed_nat,-0.2,0.9386,0.6560367309570313,0.053941719233989716,0.9925417900085449,10000,3.708414599997923
fixed_nat,-0.1,0.9396,0.5435519879341125,0.05177949368953705,0.9912577867507935,10000,3.702722300076857
fixed_nat,0.0,0.9402,0.44721755304336547,0.04958021268248558,0.9896230101585388,10000,3.646468299906701
fixed_nat,0.1,0.9413,0.36584053745269773,0.046219877898693085,0.9874589443206787,10000,3.7061794998589903
fixed_nat,0.2,0.9415,0.29838346300125124,0.042995207011699677,0.9844894409179688,10000,3.6933478999417275
fixed_nat,0.4,0.9427,0.20465673117637634,0.028317362070083618,0.9708232283592224,10000,3.6961777999531478
fixed_nat,0.6,0.9407,0.22864154291152955,0.05307832732796669,0.8877638578414917,10000,3.695726600009948
fixed_nat,0.8,0.9179,0.8575668920516968,0.4358788728713989,0.48204755783081055,10000,3.718038500053808
