method,checkpoint_path,seed,alpha,test_accuracy,test_loss,nll,brier_score,ece_15_bins,adaptive_ece,mean_confidence,confidence_accuracy_gap,accuracy_drop_from_own_alpha0,accuracy_drop_from_clean_reference,relative_accuracy_drop,sample_count,elapsed_seconds,throughput_samples_per_second,peak_gpu_memory_mb
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,-0.8,0.9356,1.6371845710754394,1.6371842622756958,0.12459725886583328,0.060896795243024826,0.06062773987650871,0.9962276816368103,0.060627681636810316,0.006700000000000039,,,10000,14.050286300014704,711.7292691743609,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,-0.6,0.9369,1.212112850189209,1.2121130228042603,0.11986526846885681,0.058860648423433304,0.05886060744524002,0.9957605004310608,0.058860500431060836,0.005400000000000071,,,10000,14.298729500034824,699.3628349970286,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,-0.4,0.9393,0.8763865390777588,0.8763865232467651,0.11445459723472595,0.05541592091321945,0.05536019057035446,0.9946601390838623,0.05536013908386228,0.0030000000000000027,,,10000,14.186339699896052,704.9034642863708,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,-0.2,0.9405,0.6179895462036132,0.6179895401000977,0.10825908184051514,0.05148925632238388,0.051489152014255524,0.9919891357421875,0.0514891357421875,0.0018000000000000238,,,10000,14.14336850005202,707.0451427439807,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,-0.1,0.9417,0.5144555909156799,0.5144555568695068,0.1052158772945404,0.04913593828678131,0.04900776594877243,0.9907076954841614,0.049007695484161395,0.0006000000000000449,,,10000,14.21106190001592,703.6771826311443,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,0.0,0.9423,0.4261503059387207,0.42615020275115967,0.10249638557434082,0.04712909087538719,0.04697451740503311,0.9892743825912476,0.04697438259124753,0.0,,,10000,14.347374100005254,696.991653685,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,0.1,0.9427,0.35154160232543946,0.3515414297580719,0.1001029908657074,0.04483461380004883,0.04470854625105858,0.9874083995819092,0.0447083995819092,-0.00039999999999995595,,,10000,14.164010799955577,706.0147115978875,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,0.2,0.9429,0.2893923930168152,0.28939229249954224,0.09761781245470047,0.04179449379444122,0.04165487363934517,0.9845547676086426,0.04165476760864262,-0.0005999999999999339,,,10000,14.19825499993749,704.3119031207727,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,0.4,0.942,0.20238768281936645,0.20238767564296722,0.09051515907049179,0.029501862823963165,0.02932916209101677,0.9712072014808655,0.02920720148086553,0.000300000000000078,,,10000,14.181388800032437,705.1495548854233,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,0.6,0.939,0.22518955245018005,0.22518952190876007,0.09353362023830414,0.04834407940506935,0.048344098031520844,0.8906558156013489,-0.04834418439865107,0.0033000000000000806,,,10000,14.198686299845576,704.2905089119942,375.45556640625
fixed_nat_seed_3407,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_3407\best.pt,42,0.8,0.916,0.8939021699905395,0.893902063369751,0.37969982624053955,0.452334463596344,0.4522292912006378,0.46377068758010864,-0.4522293124198914,0.02629999999999999,,,10000,14.390661699930206,694.8950790809362,375.45556640625
